No.,Name,Short Name[citation needed],Founded,Established (as IIT),State/UT,Website
1,IIT Kharagpur,IITKGP,1951,1951,West Bengal,
2,IIT Bombay,IITB,1958,1958,Maharashtra,
3,IIT Madras,IITM,1959,1959,Tamil Nadu,
4,IIT Kanpur,IITK,1959,1959,Uttar Pradesh,
5,IIT Delhi,IITD,1961,1963,Delhi,
6,IIT Guwahati,IITG,1994,1994,Assam,
7,IIT Roorkee,IITR,1847,2001,Uttarakhand,
8,IIT Ropar,IITRPR,2008,2008,Punjab,
9,IIT Bhubaneswar,IITBBS,2008,2008,Odisha,
10,IIT Gandhinagar,IITGN,2008,2008,Gujarat,
11,IIT Hyderabad,IITH,2008,2008,Telangana,
12,IIT Jodhpur,IITJ,2008,2008,Rajasthan,
13,IIT Patna,IITP,2008,2008,Bihar,
14,IIT Indore,IITI,2009,2009,Madhya Pradesh,
15,IIT Mandi,IITMandi,2009,2009,Himachal Pradesh,
16,IIT (BHU) Varanasi,IIT (BHU),1919,2012,Uttar Pradesh,
17,IIT Palakkad,IITPKD,2015[14],2015[14],Kerala,
18,IIT Tirupati,IITTP,2015,2015,Andhra Pradesh,
19,IIT Dhanbad,IIT (ISM),1926,2016,Jharkhand,
20,IIT Bhilai[15],IITBH,2016,2016,Chhattisgarh,
21,IIT Goa[16],IITGOA,2016,2016,Goa,
22,IIT Jammu[17],IITJM,2016,2016,Jammu and Kashmir,
23,IIT Dharwad[18],IITDH,2016,2016,Karnataka,
